symbol,date,open,high,low,close,volume,change,changePercent,vwap
AMZN,2024-12-16,230.23,233.0,228.01,232.93,37552100,2.7,1.17,231.0425
AMZN,2024-12-13,228.4,230.2,225.86,227.46,28768100,-0.94,-0.41156,227.98
AMZN,2024-12-12,229.83,231.09,227.63,228.97,28204100,-0.86,-0.37419,229.38
AMZN,2024-12-11,226.41,231.2,226.26,230.26,35385800,3.85,1.7,228.5325
AMZN,2024-12-10,226.09,229.06,224.2,225.04,31199900,-1.05,-0.46442,226.0975
AMZN,2024-12-09,227.21,230.08,225.67,226.09,46819400,-1.12,-0.49294,227.2625
AMZN,2024-12-06,220.75,227.15,220.6,227.03,44178100,6.28,2.84,223.8825
AMZN,2024-12-05,218.03,222.15,217.3,220.55,41140220,2.52,1.16,219.5075
AMZN,2024-12-04,215.96,220.0,215.75,218.16,48745716,2.2,1.02,217.4675
AMZN,2024-12-03,210.31,214.02,209.65,213.44,32214828,3.13,1.49,211.855
AMZN,2024-12-02,209.96,212.99,209.51,210.71,39523200,0.75,0.35721,210.7925
AMZN,2024-11-29,205.83,208.2,204.59,207.89,24892447,2.06,1.0,206.6275
AMZN,2024-11-27,206.98,207.64,205.05,205.74,28061638,-1.24,-0.59909,206.3525
AMZN,2024-11-26,201.9,208.0,201.79,207.86,41673737,5.96,2.95,204.8875
AMZN,2024-11-25,199.28,201.95,199.0,201.45,40685700,2.17,1.09,200.42
AMZN,2024-11-22,198.25,199.26,196.75,197.12,31530844,-1.13,-0.56999,197.845
AMZN,2024-11-21,203.49,203.49,195.75,198.38,58800042,-5.11,-2.51,200.2775
AMZN,2024-11-20,202.98,203.13,199.45,202.88,32769000,-0.1,-0.04926594,202.11
AMZN,2024-11-19,199.33,205.3,198.78,204.61,31197900,5.28,2.65,202.005
AMZN,2024-11-18,204.15,204.67,200.95,201.7,36512500,-2.45,-1.2,202.8675
AMZN,2024-11-15,206.76,207.34,199.61,202.61,86591144,-4.15,-2.01,204.08
AMZN,2024-11-14,214.16,215.9,210.88,211.48,42620309,-2.68,-1.25,213.105
AMZN,2024-11-13,209.4,215.09,209.14,214.1,46212943,4.7,2.24,211.9325
AMZN,2024-11-12,208.37,209.54,206.01,208.91,38942918,0.54,0.25915,208.2075
AMZN,2024-11-11,208.5,209.65,205.59,206.84,35456012,-1.66,-0.79616,207.645
AMZN,2024-11-08,209.72,209.96,207.44,208.18,36075846,-1.54,-0.73431,208.825
AMZN,2024-11-07,207.44,212.25,207.19,210.05,52878400,2.61,1.26,209.2325
AMZN,2024-11-06,200.01,207.55,199.14,207.09,72292200,7.08,3.54,203.4475
AMZN,2024-11-05,196.04,199.82,195.99,199.5,30564800,3.46,1.76,197.8375
AMZN,2024-11-04,196.45,197.33,194.31,195.78,38492100,-0.67,-0.34105,195.9675
AMZN,2024-11-01,199.0,200.5,197.02,197.93,99687847,-1.07,-0.53769,198.6125
AMZN,2024-10-31,190.51,190.6,185.23,186.4,75146800,-4.11,-2.16,188.185
AMZN,2024-10-30,194.7,195.61,192.42,192.73,37707600,-1.97,-1.01,193.865
AMZN,2024-10-29,188.58,191.46,187.82,190.83,35690200,2.25,1.19,189.6725
AMZN,2024-10-28,189.57,190.21,188.21,188.39,27930836,-1.18,-0.62246,189.095
AMZN,2024-10-25,187.85,190.45,187.53,187.83,29362100,-0.02,-0.01064679,188.415
AMZN,2024-10-24,185.25,187.11,183.86,186.38,21647400,1.13,0.60999,185.65
AMZN,2024-10-23,188.85,189.16,183.69,184.71,31937100,-4.14,-2.19,186.6025
AMZN,2024-10-22,188.35,191.52,186.98,189.7,29650600,1.35,0.71675,189.1375
AMZN,2024-10-21,188.05,189.46,186.4,189.07,24639400,1.02,0.54241,188.245
AMZN,2024-10-18,187.15,190.74,186.28,188.99,37417700,1.84,0.98317,188.29
AMZN,2024-10-17,188.22,188.94,186.0,187.53,25039414,-0.69,-0.36659,187.6725
AMZN,2024-10-16,187.05,187.78,185.61,186.89,23456812,-0.16,-0.08553863,186.8325
AMZN,2024-10-15,187.63,188.41,184.58,187.69,32178925,0.06,0.03197783,187.0775
AMZN,2024-10-14,189.78,189.83,187.36,187.54,22614407,-2.24,-1.18,188.6275
AMZN,2024-10-11,186.63,189.93,186.3,188.82,25751600,2.19,1.17,187.92
AMZN,2024-10-10,187.13,188.13,185.83,186.65,27785043,-0.48,-0.25651,186.935
AMZN,2024-10-09,182.82,185.85,182.05,185.17,26343117,2.35,1.29,183.9725
AMZN,2024-10-08,181.92,183.09,180.92,182.72,26372100,0.805,0.43975,182.1625
AMZN,2024-10-07,182.95,183.6,180.25,180.8,42364201,-2.15,-1.18,181.9
AMZN,2024-10-04,185.75,187.6,183.6,186.51,41079011,0.76,0.40915,185.865
AMZN,2024-10-03,183.05,183.44,180.88,181.96,30204302,-1.08,-0.59547,182.3325
AMZN,2024-10-02,184.44,186.6,184.04,184.76,23704100,0.32,0.1735,184.96
AMZN,2024-10-01,184.9,186.19,183.45,185.13,36044906,0.23,0.12439,184.9175
AMZN,2024-09-30,187.14,188.49,184.65,186.33,41680400,-0.81,-0.43283,186.6525
AMZN,2024-09-27,190.68,190.9,187.34,187.97,36002316,-2.71,-1.42,189.2225
AMZN,2024-09-26,194.31,194.53,189.54,191.16,36334900,-3.15,-1.62,192.385
AMZN,2024-09-25,193.75,193.95,192.16,192.53,26391144,-1.22,-0.62968,193.0975
AMZN,2024-09-24,194.27,195.37,190.13,193.96,43478926,-0.31,-0.15957,193.4325
GOOGL,2025-10-06,244.78,251.32,244.58,250.43,28894700,5.65,2.31,247.7775
GOOGL,2025-10-03,244.49,246.3,241.66,245.35,30249600,0.86,0.35175,244.45
GOOGL,2025-10-02,245.15,246.81,242.3,245.69,25483300,0.54,0.22027,244.9875
GOOGL,2025-10-01,240.75,246.3,238.61,244.9,31658234,4.15,1.72,242.64
GOOGL,2025-09-30,242.81,243.29,239.25,243.1,34724346,0.29,0.11943,242.1125
GOOGL,2025-09-29,247.85,251.15,242.77,244.05,32505800,-3.8,-1.53,246.455
GOOGL,2025-09-26,247.07,249.42,245.97,246.54,18503200,-0.525,-0.21451,247.25
GOOGL,2025-09-25,244.4,246.49,240.74,245.79,31020400,1.39,0.56874,244.355
GOOGL,2025-09-24,251.66,252.35,246.44,247.14,28201003,-4.52,-1.8,249.3975
GOOGL,2025-09-23,253.04,254.36,250.48,251.66,26628016,-1.38,-0.54537,252.385
GOOGL,2025-09-22,254.43,255.78,250.3,252.53,32290538,-1.9,-0.74677,253.26
GOOGL,2025-09-19,253.25,256.0,251.81,254.72,55571424,1.47,0.58045,253.945
GOOGL,2025-09-18,251.68,253.99,249.8,252.03,31239500,0.35,0.13907,251.875
GOOGL,2025-09-17,251.22,251.6,246.28,249.53,34108000,-1.69,-0.67272,249.6575
GOOGL,2025-09-16,252.08,253.04,249.47,251.16,34109720,-0.92,-0.36496,251.4375
GOOGL,2025-09-15,244.66,252.41,244.66,251.61,58383800,6.95,2.84,248.335
GOOGL,2025-09-12,240.37,242.08,238.0,240.8,26771610,0.43,0.17889,240.3125
GOOGL,2025-09-11,239.88,242.25,236.25,240.37,30599328,0.49,0.20427,239.6875
GOOGL,2025-09-10,238.9,241.66,237.85,239.17,35141100,0.27,0.11302,239.395
GOOGL,2025-09-09,234.17,240.47,233.23,239.63,38061000,5.47,2.33,236.875
GOOGL,2025-09-08,235.47,238.13,233.67,234.04,32474743,-1.43,-0.6073,235.3275
GOOGL,2025-09-05,232.2,235.76,231.9,235.0,46588925,2.8,1.21,233.715
GOOGL,2025-09-04,229.65,232.37,226.11,232.3,51684200,2.65,1.15,230.1075
GOOGL,2025-09-03,226.21,231.31,224.79,230.66,103336125,4.45,1.97,228.2425
GOOGL,2025-09-02,208.44,211.68,206.2,211.35,47523037,2.91,1.4,209.4175
GOOGL,2025-08-29,210.51,214.65,210.2,212.91,39728400,2.4,1.14,212.0675
GOOGL,2025-08-28,207.25,212.22,206.9,211.64,32339307,4.39,2.12,209.5025
GOOGL,2025-08-27,205.7,208.91,205.65,207.48,23022900,1.78,0.86534,206.935
GOOGL,2025-08-26,207.51,207.85,205.7,207.14,28464130,-0.37,-0.1783,207.05
GOOGL,2025-08-25,206.43,210.52,205.28,208.49,29928900,2.06,0.99792,207.68
GOOGL,2025-08-22,202.73,208.54,201.3,206.09,42827040,3.36,1.66,204.665
GOOGL,2025-08-21,199.75,202.48,199.43,199.75,19774633,0.005,0.0,200.3525
GOOGL,2025-08-20,200.73,201.28,196.6,199.32,28955500,-1.41,-0.70244,199.4825
GOOGL,2025-08-19,203.03,203.44,199.96,201.57,24240233,-1.46,-0.71911,202.0
GOOGL,2025-08-18,204.2,205.27,202.49,203.5,18526600,-0.7,-0.3428,203.865
GOOGL,2025-08-15,203.85,206.44,201.28,203.9,34931422,0.05,0.02452784,203.8675
GOOGL,2025-08-14,201.5,204.44,201.23,202.94,25230427,1.44,0.71464,202.5275
GOOGL,2025-08-13,204.13,204.53,197.51,201.96,28342922,-2.17,-1.06,202.0325
